Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC-ADM-001,"Quản lý tài xế và phân quyền (FR03, FR27)",Nhân viên vận hành tạo tài khoản tài xế mới thành công (Dữ liệu đúng),Nhân viên đã đăng nhập tài khoản quyền OPERATION_STAFF,1. Gửi request POST /admin/drivers | 2. Nhập họ tên sđt số bằng lái hợp lệ | 3. Nhấn tạo,"full_name: 'Lê Văn Tài', phone: '0912345678', license_number: 'C-98765432'",HTTP 201 Created; tài khoản tài xế được tạo và kích hoạt thành công,High
TC-ADM-002,"Quản lý tài xế và phân quyền (FR03, FR27)",Để trống các trường thông tin bắt buộc khi tạo tài xế (Dữ liệu rỗng),Nhân viên có quyền OPERATION_STAFF,1. Gửi POST /admin/drivers bỏ trống toàn bộ body | 2. Nhấn gửi,"full_name: '', phone: '', license_number: ''",HTTP 400 Bad Request; thông báo danh sách trường bắt buộc không được để trống,High
TC-ADM-003,"Quản lý tài xế và phân quyền (FR03, FR27)",Tạo tài xế với số điện thoại hoặc bằng lái đã tồn tại (Business Rule),Số bằng lái C-98765432 đã có trong hệ thống,1. Gửi POST /admin/drivers nhập license_number đã tồn tại | 2. Nhấn gửi,"full_name: 'Lê Văn B', phone: '0911111222', license_number: 'C-98765432'",HTTP 409 Conflict; từ chối tạo và thông báo bằng lái đã được đăng ký,High
TC-ADM-004,"Quản lý tài xế và phân quyền (FR03, FR27)",Người dùng không có quyền quản trị cố gọi API tạo tài xế (Bảo mật - RULE04, AC21),Client đăng nhập với vai trò CUSTOMER hoặc DRIVER,1. Đính kèm Bearer token của CUSTOMER | 2. Gửi request POST /admin/drivers,"Role: CUSTOMER, full_name: 'Lê Văn Tài'",HTTP 403 Forbidden; từ chối truy cập và ghi log cảnh báo (RULE04, AC21),High
TC-ADM-005,"Quản trị người dùng và tài khoản (FR24, FR27)",Khóa tài khoản người dùng vi phạm quy định (Dữ liệu đúng),Tài khoản user-001 đang ở trạng thái ACTIVE; Nhân viên có quyền,1. Gửi request PATCH /admin/users/{user_id}/status | 2. Chọn status LOCKED | 3. Nhấn cập nhật,"user_id: 'user-001', status: 'LOCKED'",HTTP 200 OK; trạng thái chuyển thành LOCKED; lưu log thao tác quản trị (RULE05),High
TC-ADM-006,"Quản trị người dùng và tài khoản (FR24, FR27)",Mở khóa tài khoản đã bị khóa (Dữ liệu đúng),Tài khoản user-002 đang ở trạng thái LOCKED,1. Gửi PATCH /admin/users/{user_id}/status | 2. Chọn status ACTIVE | 3. Nhấn cập nhật,"user_id: 'user-002', status: 'ACTIVE'",HTTP 200 OK; tài khoản được khôi phục quyền đăng nhập bình thường,Medium
TC-ADM-007,"Quản trị người dùng và tài khoản (FR24, FR27)",Cập nhật trạng thái người dùng với user_id không tồn tại (Dữ liệu không hợp lệ),Nhân viên vận hành có quyền,1. Gửi PATCH /admin/users/{user_id}/status với user_id giả | 2. Nhấn gửi,"user_id: 'user-999999', status: 'LOCKED'",HTTP 404 Not Found; thông báo 'User not found',Low
TC-ADM-008,"Quản trị người dùng và tài khoản (FR24, FR27)",Gửi giá trị trạng thái không nằm trong danh mục (Dữ liệu không hợp lệ),Hệ thống đang hoạt động,1. Gửi PATCH /admin/users/{user_id}/status với status sai enum | 2. Nhấn gửi,"user_id: 'user-001', status: 'DELETED_FOREVER'",HTTP 400 Bad Request; thông báo giá trị trạng thái không hợp lệ (chỉ nhận ACTIVE/LOCKED),Medium
TC-ADM-009,"Giám sát vận hành chuyến đi (FR23)",Xem danh sách các chuyến đi đang diễn ra thời gian thực (Dữ liệu đúng - AC18),Hệ thống đang có các chuyến xe ở trạng thái SEARCHING hoặc IN_TRANSIT,1. Nhân viên vận hành gửi request GET /admin/trips/live | 2. Kiểm tra danh sách,Token quyền OPERATION_STAFF,HTTP 200 OK; hiển thị đầy đủ danh sách chuyến đang chạy kèm vị trí tài xế (AC18),High
TC-ADM-010,"Giám sát vận hành chuyến đi (FR23)",Xem danh sách khi hệ thống không có chuyến nào đang diễn ra (Giá trị biên rỗng),Không có chuyến xe nào đang hoạt động,1. Gửi request GET /admin/trips/live | 2. Kiểm tra response,active_trips: 0,HTTP 200 OK; trả về mảng rỗng [] không gây lỗi crash hệ thống,Medium
