Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC-RATE-001,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá với số sao và nhận xét hợp lệ (Dữ liệu đúng),Chuyến đi trip-001 đã COMPLETED và thanh toán thành công; Khách hàng đã đăng nhập,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập điểm số và bình luận | 3. Nhấn gửi đánh giá,"trip_id: 'trip-001', score: 5, comment: 'Tài xế lái xe an toàn, lịch sự'",HTTP 201 Created; lưu đánh giá thành công và cập nhật vào hồ sơ tài xế (AC08),High
TC-RATE-002,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá chỉ có số sao không nhập bình luận (Dữ liệu đúng - Comment tùy chọn),Chuyến đi trip-001 đã COMPLETED và thanh toán thành công,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score để trống comment | 3. Nhấn gửi,"trip_id: 'trip-001', score: 4, comment: ''",HTTP 201 Created; lưu đánh giá thành công với comment rỗng,Medium
TC-RATE-003,Đánh giá tài xế sau chuyến đi (FR30),Để trống số sao đánh giá (Dữ liệu rỗng),Chuyến đi trip-001 đã COMPLETED,1. Gửi request POST /trips/{trip_id}/rating bỏ trống score | 2. Nhấn gửi,"trip_id: 'trip-001', score: null, comment: 'Tài xế tốt'",HTTP 400 Bad Request; thông báo lỗi 'Rating score is required',High
TC-RATE-004,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá với số sao là 1 (Giá trị biên dưới - Hợp lệ),Chuyến đi trip-001 đã COMPLETED và thanh toán thành công,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score = 1 | 3. Nhấn gửi,"trip_id: 'trip-001', score: 1, comment: 'Xe không sạch sẽ'",HTTP 201 Created; lưu đánh giá 1 sao thành công,Medium
TC-RATE-005,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá với số sao là 0 (Giá trị biên dưới - Không hợp lệ),Chuyến đi trip-001 đã COMPLETED,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score = 0 | 3. Nhấn gửi,"trip_id: 'trip-001', score: 0, comment: 'Quá tệ'",HTTP 400 Bad Request; thông báo 'Rating score must be between 1 and 5',High
TC-RATE-006,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá với số sao là 5 (Giá trị biên trên - Hợp lệ),Chuyến đi trip-001 đã COMPLETED và thanh toán thành công,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score = 5 | 3. Nhấn gửi,"trip_id: 'trip-001', score: 5, comment: 'Rất tuyệt vời'",HTTP 201 Created; lưu đánh giá 5 sao thành công,Medium
TC-RATE-007,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá với số sao lớn hơn 5 (Giá trị biên trên - Không hợp lệ),Chuyến đi trip-001 đã COMPLETED,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score = 6 | 3. Nhấn gửi,"trip_id: 'trip-001', score: 6, comment: 'Tuyệt vời trên cả mong đợi'",HTTP 400 Bad Request; thông báo 'Rating score must be between 1 and 5',High
TC-RATE-008,Đánh giá tài xế sau chuyến đi (FR30),Nhập số sao dạng số âm hoặc dạng chuỗi/số thập phân (Dữ liệu không hợp lệ),Chuyến đi trip-001 đã COMPLETED,1. Gửi request POST /trips/{trip_id}/rating | 2. Nhập score không phải số nguyên 1-5 | 3. Nhấn gửi,"trip_id: 'trip-001', score: -1 | score: 4.5 | score: 'five'",HTTP 400 Bad Request; thông báo kiểu dữ liệu số sao không hợp lệ (integer 1-5),Medium
TC-RATE-009,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá cho trip_id không tồn tại (Dữ liệu không hợp lệ),Hệ thống đang hoạt động,1. Gửi request POST /trips/{trip_id}/rating với trip_id giả | 2. Nhấn gửi,"trip_id: 'trip-unknown-9999', score: 5",HTTP 404 Not Found; thông báo 'Trip not found',Low
TC-RATE-010,Đánh giá tài xế sau chuyến đi (FR30),Gửi đánh giá khi chuyến đi chưa hoàn thành (Ngoại lệ),Chuyến đi đang ở trạng thái IN_PROGRESS hoặc ARRIVED,1. Khách hàng gửi request POST /trips/{trip_id}/rating | 2. Nhấn gửi,"trip_id: 'trip-002' (status: IN_PROGRESS), score: 5",HTTP 400 Bad Request; từ chối đánh giá với lý do 'Trip is not completed yet',High
TC-RATE-011,Đánh giá tài xế sau chuyến đi (FR30),Gửi đánh giá nhiều lần cho cùng một chuyến đi (Business Rule),Chuyến đi trip-001 đã được đánh giá trước đó,1. Gửi tiếp request POST /trips/trip-001/rating lần 2 | 2. Nhấn gửi,"trip_id: 'trip-001', score: 4, comment: 'Đổi ý đánh giá lại'",HTTP 409 Conflict; thông báo 'This trip has already been rated',High
TC-RATE-012,Đánh giá tài xế sau chuyến đi (FR30),Khách hàng đánh giá chuyến đi của người khác (Bảo mật / Quyền),Chuyến trip-001 do khách cus-001 đặt; khách cus-002 đang đăng nhập,1. Đăng nhập bằng tài khoản cus-002 | 2. Gửi request đánh giá cho trip-001 | 3. Nhấn gửi,"Token: cus-002, trip_id: 'trip-001', score: 1",HTTP 403 Forbidden; từ chối do người dùng không phải là khách hàng của chuyến đi này,High
TC-RATE-013,Đánh giá tài xế sau chuyến đi (FR30),Đánh giá khi chưa đăng nhập / Không truyền Token (Bảo mật),Client chưa xác thực,1. Gửi request POST /trips/trip-001/rating không kèm header Authorization,"trip_id: 'trip-001', score: 5",HTTP 401 Unauthorized; từ chối truy cập,High
