Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC-PAY-001,Tính cước chuyến đi (FR17),Tính cước cho chuyến đi hoàn thành với quãng đường hợp lệ (Dữ liệu đúng),Chuyến đi trip-001 đã ở trạng thái COMPLETED với đầy đủ dữ liệu GPS,1. Gửi request GET /trips/{trip_id}/fare | 2. Kiểm tra cước phí tính toán trả về,"trip_id: 'trip-001', distance: 5.5km, vehicle_type: '4_SEATS'",HTTP 200 OK; trả về tổng tiền chính xác theo công thức quy định (AC06),High
TC-PAY-002,Tính cước chuyến đi (FR17),Tính cước nhiều lần trên cùng một chuyến hoàn tất (Nhất quán - AC15),Chuyến đi trip-001 đã hoàn thành,1. Gửi GET /trips/trip-001/fare lần 1 | 2. Gửi GET /trips/trip-001/fare lần 2 sau 5 phút | 3. So sánh kết quả,"trip_id: 'trip-001'",HTTP 200 OK; kết quả cước phí ở các lần gọi phải nhất quán và không đổi (AC15),Medium
TC-PAY-003,Tính cước chuyến đi (FR17),Tính cước cho chuyến đi chưa hoàn thành (Ngoại lệ),Chuyến đi trip-002 đang ở trạng thái IN_TRANSIT,1. Gửi request GET /trips/trip-002/fare | 2. Kiểm tra phản hồi,"trip_id: 'trip-002' (status: IN_TRANSIT)",HTTP 400 Bad Request; thông báo chuyến đi chưa hoàn thành nên chưa thể tính cước,High
TC-PAY-004,Tính cước chuyến đi (FR17),Tính cước với trip_id không tồn tại (Dữ liệu không hợp lệ),Hệ thống đang hoạt động,1. Gửi request GET /trips/{trip_id}/fare với ID không tồn tại,"trip_id: 'trip-unknown-9999'",HTTP 404 Not Found; thông báo 'Trip not found',Low
TC-PAY-005,Tính cước chuyến đi (FR17),Quãng đường di chuyển cực ngắn (Giá trị biên dưới),Chuyến đi hoàn tất với quãng đường dưới mức cước tối thiểu (ví dụ: 0.2km),1. Gửi GET /trips/{trip_id}/fare | 2. Kiểm tra số tiền cước,"trip_id: 'trip-003', distance: 0.2km",HTTP 200 OK; áp dụng cước giá mở cửa tối thiểu (Base fare) không tính tiền âm hoặc 0 đồng,Medium
TC-PAY-006,"Thanh toán chuyến đi (FR18, FR19, FR20)",Thanh toán bằng tiền mặt thành công (Dữ liệu đúng),Chuyến đi đã tính cước và chưa thanh toán,1. Gửi request POST /payments/checkout | 2. Chọn method CASH | 3. Nhấn thanh toán,"trip_id: 'trip-001', method: 'CASH'",HTTP 200 OK; payment status chuyển sang SUCCESS; lưu log thanh toán (RULE05),High
TC-PAY-007,"Thanh toán chuyến đi (FR18, FR19, FR20)",Để trống trường phương thức thanh toán (Dữ liệu rỗng),Chuyến đi đang chờ thanh toán,1. Gửi request POST /payments/checkout bỏ trống method | 2. Nhấn gửi,"trip_id: 'trip-001', method: ''",HTTP 400 Bad Request; thông báo lỗi 'Payment method is required',High
TC-PAY-008,"Thanh toán chuyến đi (FR18, FR19, FR20)",Chọn phương thức thanh toán không hỗ trợ (Dữ liệu không hợp lệ),Chuyến đi đang chờ thanh toán,1. Gửi request POST /payments/checkout với method không nằm trong enum | 2. Nhấn gửi,"trip_id: 'trip-001', method: 'CRYPTO_BITCOIN'",HTTP 400 Bad Request; thông báo phương thức thanh toán không hợp lệ,Medium
TC-PAY-009,"Thanh toán chuyến đi (FR18, FR19, FR20)",Khởi tạo thanh toán trực tuyến thành công (Dữ liệu đúng),Chuyến đi đã tính cước,1. Gửi POST /payments/checkout với method ONLINE | 2. Nhận payment_url,"trip_id: 'trip-001', method: 'ONLINE'",HTTP 200 OK; trả về payment_url để chuyển hướng khách đến cổng thanh toán đối tác,High
TC-PAY-010,"Thanh toán chuyến đi (FR18, FR19, FR20)",Giao dịch trực tuyến thất bại do tài khoản không đủ số dư (Ngoại lệ - EXC03, AC07),Khách hàng thực hiện thanh toán trên cổng đối tác nhưng thẻ hết số dư,1. Cổng thanh toán trả callback lỗi thất bại | 2. Hệ thống xử lý kết quả,"error_code: 'INSUFFICIENT_FUNDS', trip_id: 'trip-001'",Ghi nhận trạng thái FAILED; thông báo lỗi cho khách và cho phép thực hiện thanh toán lại (AC07),High
TC-PAY-011,"Thanh toán chuyến đi (FR18, FR19, FR20)",Cổng thanh toán bên thứ ba mất kết nối / Timeout (Ngoại lệ),Mạng kết nối tới cổng thanh toán đối tác bị gián đoạn,1. Gửi yêu cầu thanh toán ONLINE | 2. Cổng thanh toán không phản hồi sau 30s,"trip_id: 'trip-001', method: 'ONLINE'",Hệ thống thông báo sự cố cổng thanh toán; không trừ tiền chuyến; cho phép thử lại hoặc đổi tiền mặt,High
TC-PAY-012,"Thanh toán chuyến đi (FR18, FR19, FR20)",Thanh toán lại cho chuyến đi đã thanh toán thành công (Business Rule),Chuyến trip-001 đã có payment status là SUCCESS,1. Tiếp tục gửi request POST /payments/checkout cho trip-001 | 2. Nhấn gửi,"trip_id: 'trip-001', method: 'CASH'",HTTP 409 Conflict; thông báo 'Trip has already been paid',High
TC-PAY-013,"Thanh toán chuyến đi (FR18, FR19, FR20)",Kiểm tra hệ thống không lưu trữ thông tin thẻ nhạy cảm (Bảo mật - RULE03),Giao dịch thanh toán trực tuyến vừa hoàn tất,1. Kiểm tra bảng PAYMENT và log hệ thống | 2. Xác minh dữ liệu lưu trữ,"card_number: '9704000012345678', cvv: '123'",Database chỉ lưu transaction_id method amount; tuyệt đối không lưu số thẻ và mã CVV (RULE03),High
TC-PAY-014,"Thanh toán chuyến đi (FR18, FR19, FR20)",Ghi nhận lịch sử giao dịch phục vụ kiểm tra/đối soát (Audit Log - RULE05),Giao dịch thanh toán thành công hoặc thất bại,1. Thực hiện thanh toán | 2. Kiểm tra log hệ thống,"payment_id: 'pay-001', trip_id: 'trip-001'",Lưu đầy đủ thông tin thanh toán (mã GD thời gian số tiền trạng thái) vào hệ thống (RULE05),Medium
