Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC-TRIP-001,"Khách hàng đặt chuyến xe (FR07, FR08, FR09)",Đặt chuyến xe với đầy đủ thông tin hợp lệ (Dữ liệu đúng),Khách hàng đã đăng nhập (có Bearer Token hợp lệ),"1. Gửi request POST /trips | 2. Nhập điểm đón, điểm đến và loại xe hợp lệ | 3. Nhấn gửi yêu cầu","pickup_location: '12 Nguyễn Văn Bảo, Gò Vấp', dropoff_location: 'Sân bay Tân Sơn Nhất', vehicle_type: '4_SEATS'",HTTP 201 Created; chuyến đi được khởi tạo thành công với trạng thái SEARCHING,High
TC-TRIP-002,"Khách hàng đặt chuyến xe (FR07, FR08, FR09)",Để trống điểm đón hoặc điểm đến (Dữ liệu rỗng),Khách hàng đã đăng nhập,"1. Gửi request POST /trips | 2. Để trống pickup_location hoặc dropoff_location | 3. Nhấn gửi yêu cầu","pickup_location: '', dropoff_location: 'Sân bay Tân Sơn Nhất', vehicle_type: '4_SEATS'",HTTP 400 Bad Request; từ chối tạo chuyến và thông báo 'Pickup location is required',High
TC-TRIP-003,"Khách hàng đặt chuyến xe (FR07, FR08, FR09)",Điểm đón và điểm đến trùng nhau hoàn toàn (Giá trị biên / Ngoại lệ),Khách hàng đã đăng nhập,"1. Gửi request POST /trips | 2. Nhập điểm đón giống hệt điểm đến | 3. Nhấn gửi yêu cầu","pickup_location: '12 Nguyễn Văn Bảo', dropoff_location: '12 Nguyễn Văn Bảo', vehicle_type: '4_SEATS'",HTTP 400 Bad Request; thông báo 'Pickup and dropoff locations cannot be identical',Medium
TC-TRIP-004,"Khách hàng đặt chuyến xe (FR07, FR08, FR09)",Chọn loại xe không nằm trong danh mục hệ thống (Dữ liệu không hợp lệ),Khách hàng đã đăng nhập,"1. Gửi request POST /trips | 2. Nhập vehicle_type sai enum | 3. Nhấn gửi yêu cầu","pickup_location: '12 Nguyễn Văn Bảo', dropoff_location: 'Sân bay', vehicle_type: 'AIRPLANE'",HTTP 400 Bad Request; thông báo loại phương tiện không hợp lệ,Medium
TC-TRIP-005,"Khách hàng đặt chuyến xe (FR07, FR08, FR09)",Đặt chuyến khi chưa đăng nhập / Không truyền Token (Bảo mật),Client chưa xác thực hoặc token hết hạn,"1. Gửi request POST /trips không kèm header Authorization | 2. Nhập dữ liệu hợp lệ | 3. Nhấn gửi","pickup_location: '12 Nguyễn Văn Bảo', dropoff_location: 'Sân bay', vehicle_type: '4_SEATS'",HTTP 401 Unauthorized; từ chối truy cập,High
TC-TRIP-006,"Tìm và phân công tài xế (FR10, FR11, FR12, FR13)",Hệ thống tự động tìm và gửi đề xuất cho tài xế gần nhất (Dữ liệu đúng),Có ít nhất 1 tài xế ở trạng thái AVAILABLE trong bán kính tìm kiếm,"1. Tạo yêu cầu chuyến thành công | 2. Hệ thống quét tài xế khả dụng | 3. Gửi đề xuất tới tài xế","trip_id: 'trip-001', driver_id: 'drv-001' (AVAILABLE, cự ly 1.2km)",Tài xế nhận được thông báo đề xuất chuyến mới kèm chi tiết điểm đón,High
TC-TRIP-007,"Tìm và phân công tài xế (FR10, FR11, FR12, FR13)",Không đề xuất cho tài xế đang bận hoặc tắt app (Business Rule - RULE02),Tài xế trong khu vực đang có status OFFLINE hoặc BUSY,1. Tạo yêu cầu chuyến mới | 2. Kiểm tra danh sách nhận thông báo đề xuất,"driver_id: 'drv-002' (status: OFFLINE)",Hệ thống không gửi đề xuất cho tài xế trạng thái OFFLINE/BUSY (RULE02),High
TC-TRIP-008,"Tìm và phân công tài xế (FR10, FR11, FR12, FR13)",Tài xế chấp nhận đề xuất chuyến (Dữ liệu đúng),Tài xế nhận được đề xuất chuyến trip-001,1. Gửi request POST /trips/{id}/respond | 2. Truyền action ACCEPT | 3. Nhấn gửi,"trip_id: 'trip-001', action: 'ACCEPT'","HTTP 200 OK; chuyến chuyển sang DRIVER_ASSIGNED, thông báo cho khách hàng",High
TC-TRIP-009,"Tìm và phân công tài xế (FR10, FR11, FR12, FR13)",Tài xế từ chối đề xuất chuyến (Ngoại lệ / Business Rule - AC11),Tài xế nhận được đề xuất chuyến trip-001,1. Gửi request POST /trips/{id}/respond | 2. Truyền action REJECT | 3. Nhấn gửi,"trip_id: 'trip-001', action: 'REJECT'",Hệ thống tự động tìm tài xế tiếp theo; không đề xuất lại cho tài xế này (AC11),High
TC-TRIP-010,"Tìm và phân công tài xế (FR10, FR11, FR12, FR13)",Tài xế không phản hồi sau thời gian quy định (Ngoại lệ - EXC01, AC10),Tài xế nhận được đề xuất nhưng không bấm chấp nhận trong 15s,1. Gửi đề xuất chuyến cho tài xế | 2. Chờ hết thời gian timeout (15s),"timeout: 15s, trip_id: 'trip-001'","Hệ thống tự động hủy đề xuất và chuyển sang tài xế kế tiếp, giữ nguyên yêu cầu của khách (EXC01)",High
